k,tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
9,072A5219,W_24,12.27639204391494,185856.46101675613,447656.15298927145,185868.61184420538,447657.90432987636,35
9,07614B78,W_24,21.994546859151768,185856.46101675613,447656.15298927145,185860.83355958975,447677.7085212924,36
9,66782A34,W_24,17.49857398631893,185856.46101675613,447656.15298927145,185873.9039728577,447657.5470387662,36
9,072A5219,W_3,39.19595244065079,185879.80222610146,447605.3664978054,185912.19414486093,447627.4365292238,30
9,07614B78,W_3,38.48847249614974,185879.80222610146,447605.3664978054,185902.44280739475,447636.49151336827,32
9,66782A34,W_3,52.28474999026797,185879.80222610146,447605.3664978054,185931.63153278266,447612.2525743727,31
9,07614B78,W_4,78.23350554273885,185872.87790942148,448155.80974339356,185915.59017254072,448090.2647667078,28
9,66782A34,W_4,41.03861959911711,185872.87790942148,448155.80974339356,185892.2119356665,448119.6107968929,27
9,072A5219,W_4,93.4701107505079,185872.87790942148,448155.80974339356,185939.05828230147,448089.80353270716,22
9,072A5219,W_5,42.77579312523773,185872.05703874584,448130.82690757484,185869.36792638767,448088.1357240328,28
9,07614B78,W_5,21.28771451020854,185872.05703874584,448130.82690757484,185872.56921044074,448109.5453552531,32
9,66782A34,W_5,33.56390238013134,185872.05703874584,448130.82690757484,185874.1253150141,448097.32679151144,30
9,07614B78,W_6,36.955030829553145,185871.2361708117,448105.8440715523,185904.6955967229,448090.155186273,31
9,66782A34,W_6,41.46183520978399,185871.2361708117,448105.8440715523,185880.44106650993,448065.41693123605,31
9,072A5219,W_6,36.04955909579026,185871.2361708117,448105.8440715523,185906.86676698472,448100.3639869402,22
9,072A5219,W_7,16.33646762044118,185870.41530561843,448080.8612353399,185860.36239434627,448093.7383137845,28
9,07614B78,W_7,30.870487788560002,185870.41530561843,448080.8612353399,185900.55751203423,448087.52714928257,32
9,66782A34,W_7,22.004532316378338,185870.41530561843,448080.8612353399,185866.8932242734,448059.1404069611,32
9,072A5219,W_8,8.92018237745595,185869.5944431666,448055.8783989265,185861.82428399147,448051.4972712132,30
9,07614B78,W_8,11.821200559928604,185869.5944431666,448055.8783989265,185872.53770602774,448067.32732841396,34
9,66782A34,W_8,10.350234411377963,185869.5944431666,448055.8783989265,185861.14295686755,448061.85332417354,34
9,072A5219,W_9,12.080816028294615,185868.77358345612,448030.8955623189,185858.1451392208,448036.6385832179,34
9,07614B78,W_9,25.51551435769929,185868.77358345612,448030.8955623189,185852.9666995266,448010.8659868522,37
9,66782A34,W_9,11.1749408844698,185868.77358345612,448030.8955623189,185860.80891583793,448023.05697995325,34
9,4C4B664C,X_10,22.555294199614814,185840.50733358314,447931.7850613748,185852.32817666352,447950.9946674431,37
9,191E4C07,X_10,17.214732175502462,185840.50733358314,447931.7850613748,185849.58707507496,447946.410563018,38
9,33557852,X_10,16.123380184385983,185840.50733358314,447931.7850613748,185854.50067512508,447923.7757055292,34
9,191E4C07,X_11,25.458723267982798,185839.6864873801,447906.80222103494,185827.56866167486,447884.4123820312,36
9,33557852,X_11,32.77790124422639,185839.6864873801,447906.80222103494,185845.04690537023,447874.4656051182,35
9,4C4B664C,X_11,15.65852671162663,185839.6864873801,447906.80222103494,185838.58342129615,447891.18259543146,32
9,191E4C07,X_2,32.97148931241402,185847.07420188465,448131.64777699736,185873.10162744217,448111.406921622,20
9,33557852,X_2,40.248219653996614,185847.07420188465,448131.64777699736,185871.78841540404,448099.8810202313,21
9,4C4B664C,X_2,60.25622166629898,185847.07420188465,448131.64777699736,185882.34519212903,448082.7932020153,29
9,2A786119,X_23,30.39854229317737,185818.8079054121,448032.5372794318,185840.64936606487,448011.3943853512,39
9,4C524C66,X_23,16.164853485936653,185818.8079054121,448032.5372794318,185834.16244949753,448027.4835220029,29
9,78073433,X_23,14.816532566248139,185818.8079054121,448032.5372794318,185833.5743993556,448031.32060613815,28
9,2A786119,X_24,20.88178844410548,185817.9870480469,448007.5544371361,185838.84280061547,448006.5120008442,37
9,4C524C66,X_24,21.61032957108098,185817.9870480469,448007.5544371361,185835.64146690335,448020.017496111,32
9,78073433,X_24,34.45104390823634,185817.9870480469,448007.5544371361,185831.40792109366,448039.28383349074,29
9,2A786119,X_3,79.23420773861932,185846.25333375286,448106.6649382482,185832.23514417734,448028.6806447207,34
9,4C524C66,X_3,61.9402473010589,185846.25333375286,448106.6649382482,185827.56834662642,448047.6101713636,21
